order_id,customer_id,product_id,quantity,amount_cents,currency,order_ts,status,channel
o000050,c00742,SKU0233,3,7719,USD,2026-04-12T15:51:15,refunded,web
o000051,c00802,SKU0316,2,2568,USD,2026-01-19T00:58:33,completed,marketplace
o000052,c00567,SKU0369,1,3586,USD,2026-04-05T05:55:36,completed,mobile
o000053,c00562,SKU0020,3,18426,USD,2026-04-07T14:03:54,cancelled,mobile
o000054,c00447,SKU0421,2,1116,USD,2025-12-19T09:43:55,completed,web
o000055,c00273,SKU0297,1,1196,USD,2026-01-29T22:18:06,completed,web
o000056,c00038,SKU0063,2,3678,USD,2026-03-10T07:58:41,completed,web
o000057,c00060,SKU0378,2,9364,USD,2026-03-15T05:48:29,shipped,web
o000058,c00247,SKU0469,1,1863,USD,2026-04-16T00:50:24,refunded,web
o000059,c00958,SKU0013,3,14352,USD,2026-04-18T03:39:55,cancelled,web
o000060,c00719,SKU0427,2,6996,USD,2026-03-26T20:50:29,completed,mobile
o000061,c00563,SKU0391,2,12518,USD,2026-01-05T20:12:48,completed,web
o000062,c00559,SKU0182,1,1302,USD,2025-12-09T20:12:32,completed,web
o000063,c00560,SKU0232,1,1604,USD,2026-03-11T09:42:55,completed,web
o000064,c00967,SKU0118,1,1789,USD,2026-03-05T03:53:24,shipped,web
o000065,c00933,SKU0160,1,1091,USD,2026-04-05T06:49:04,completed,mobile
o000066,c00065,SKU0270,1,671,USD,2026-04-04T13:39:47,refunded,web
o000067,c00859,SKU0185,1,2209,USD,2026-03-11T06:05:22,refunded,web
o000068,c00525,SKU0319,1,2261,USD,2026-04-07T21:38:14,shipped,mobile
o000069,c00674,SKU0092,3,2772,USD,2026-04-10T19:27:35,refunded,web
o000070,c00102,SKU0371,1,2100,USD,2025-12-23T19:02:10,completed,mobile
o000071,c00158,SKU0242,1,1211,USD,2025-12-29T18:34:53,completed,mobile
o000072,c00756,SKU0487,1,4417,USD,2026-02-01T07:12:06,completed,web
o000073,c00470,SKU0248,2,2356,USD,2025-12-23T20:41:42,completed,mobile
o000074,c00021,SKU0014,2,4486,USD,2026-05-04T04:44:57,completed,mobile
o000075,c00263,SKU0069,1,3981,USD,2026-03-11T21:08:59,completed,marketplace
o000076,c00349,SKU0254,5,5930,USD,2026-03-07T05:40:06,cancelled,web
o000077,c00657,SKU0437,1,458,USD,2026-03-12T02:28:32,completed,web
o000078,c00062,SKU0155,2,1366,USD,2026-02-27T20:50:26,shipped,web
o000079,c00389,SKU0079,2,2292,USD,2026-02-15T22:26:13,completed,mobile
o000080,c00444,SKU0492,2,2016,USD,2026-02-26T21:23:10,refunded,web
o000081,c00852,SKU0221,1,1253,USD,2026-04-06T17:24:28,completed,mobile
o000082,c00475,SKU0186,2,5450,USD,2025-12-30T17:58:43,shipped,web
o000083,c00636,SKU0492,1,1008,USD,2026-03-21T18:26:51,completed,mobile
o000084,c00138,SKU0116,2,5342,USD,2026-04-12T00:44:34,completed,web
o000085,c00234,SKU0486,1,932,USD,2026-01-29T09:33:56,shipped,mobile
o000086,c00536,SKU0005,1,2106,USD,2026-03-11T21:48:09,refunded,web
o000087,c00452,SKU0198,3,3690,USD,2026-04-12T14:35:52,shipped,web
o000088,c00052,SKU0181,1,895,USD,2026-02-03T18:13:10,completed,web
o000089,c00948,SKU0341,1,1378,USD,2026-03-04T17:41:00,completed,web
o000090,c00725,SKU0016,2,1402,USD,2025-12-25T12:28:27,refunded,web
o000091,c00464,SKU0076,1,1047,USD,2026-05-07T23:03:18,completed,web
o000092,c00877,SKU0307,1,1096,USD,2026-02-23T13:13:52,completed,web
o000093,c00648,SKU0127,4,14156,USD,2025-12-02T02:36:52,refunded,mobile
o000094,c00829,SKU0020,1,6142,USD,2025-12-26T02:24:53,completed,mobile
o000095,c00965,SKU0105,2,2934,USD,2026-04-05T11:51:27,completed,web
o000096,c00842,SKU0191,1,338,USD,2026-02-23T16:46:54,completed,web
o000097,c00042,SKU0166,3,4059,USD,2025-12-30T11:50:41,completed,web
o000098,c00936,SKU0069,2,7962,USD,2026-02-02T03:39:34,completed,web
o000099,c00852,SKU0482,2,2074,USD,2026-04-07T10:19:41,cancelled,web
o000100,c00858,SKU0217,1,2530,USD,2026-04-13T20:46:53,completed,web
o000101,c00640,SKU0489,1,2358,USD,2026-03-26T21:41:42,completed,mobile
o000102,c00720,SKU0136,1,704,USD,2026-04-12T04:06:29,cancelled,web
o000103,c00744,SKU0163,3,2181,USD,2025-12-08T10:01:14,cancelled,mobile
o000104,c00434,SKU0385,1,1577,USD,2026-01-15T18:48:39,completed,mobile
o000105,c00643,SKU0026,1,1628,USD,2026-01-23T18:59:06,completed,web
o000106,c00833,SKU0208,1,1259,USD,2026-02-17T06:37:42,completed,web
o000107,c00356,SKU0156,1,671,USD,2026-04-06T23:47:46,completed,mobile
o000108,c00665,SKU0123,1,3451,USD,2026-04-21T18:47:06,completed,web
o000109,c00271,SKU0130,1,2599,USD,2026-04-01T05:31:20,cancelled,web
o000110,c00665,SKU0238,4,2660,USD,2026-03-23T10:57:42,completed,web
o000111,c00033,SKU0316,1,1284,USD,2026-02-20T00:18:42,completed,web
o000112,c00549,SKU0464,2,3964,USD,2026-03-18T04:07:38,shipped,mobile
o000113,c00055,SKU0091,1,1316,USD,2026-02-03T05:13:55,completed,mobile
o000114,c00477,SKU0392,2,3680,USD,2026-03-21T08:37:34,shipped,web
o000115,c00271,SKU0382,2,6148,USD,2026-01-01T07:26:47,shipped,marketplace
o000116,c00552,SKU0335,1,1527,USD,2025-12-12T02:36:47,refunded,mobile
o000117,c00553,SKU0254,2,2372,USD,2025-11-26T15:32:57,completed,web
o000118,c00450,SKU0138,1,1820,USD,2026-01-06T22:30:16,completed,web
o000119,c00222,SKU0378,2,9364,USD,2026-05-09T09:22:05,completed,web
o000120,c00742,SKU0253,1,1021,USD,2026-04-29T19:25:25,completed,web
o000121,c00745,SKU0173,2,1424,USD,2026-03-04T08:42:00,completed,api
o000122,c00455,SKU0398,2,6952,USD,2026-03-15T01:36:44,completed,web
o000123,c00548,SKU0196,3,3720,USD,2026-02-10T12:24:46,completed,mobile
o000124,c00123,SKU0146,3,3834,USD,2026-03-16T04:53:41,refunded,web
o000125,c00747,SKU0063,5,9195,USD,2026-01-17T08:20:55,completed,mobile
o000126,c00553,SKU0339,1,701,USD,2026-04-22T07:29:47,completed,web
o000127,c00072,SKU0144,3,1413,USD,2026-03-26T10:57:13,completed,web
o000128,c00063,SKU0076,2,2094,USD,2026-02-04T02:42:48,completed,web
o000129,c00640,SKU0452,1,2546,USD,2026-04-25T09:46:30,completed,mobile
o000130,c00350,SKU0226,1,1523,USD,2026-01-30T18:06:29,refunded,web
o000131,c00351,SKU0217,1,2530,USD,2026-03-06T11:08:07,completed,mobile
o000132,c00625,SKU0032,2,2446,USD,2026-03-06T14:41:22,completed,mobile
o000133,c00755,SKU0141,1,4650,USD,2026-03-13T12:47:43,completed,web
o000134,c00352,SKU0454,1,1572,USD,2026-03-14T04:12:13,shipped,web
o000135,c00374,SKU0368,2,2846,USD,2026-02-08T09:58:53,completed,mobile
o000136,c00439,SKU0262,1,698,USD,2026-01-20T08:40:43,completed,web
o000137,c00867,SKU0112,2,2264,USD,2026-02-02T13:38:48,completed,mobile
o000138,c00643,SKU0404,1,2548,USD,2026-03-16T10:21:37,completed,mobile
o000139,c00743,SKU0226,1,1523,USD,2026-01-07T16:00:10,completed,web
o000140,c00458,SKU0400,2,3562,USD,2026-03-22T23:08:35,cancelled,web
o000141,c00275,SKU0424,1,2800,USD,2026-04-29T23:43:28,completed,mobile
o000142,c00724,SKU0215,1,2296,USD,2026-02-06T14:30:20,cancelled,web
o000143,c00182,SKU0084,5,3930,USD,2026-03-21T17:54:21,cancelled,web
o000144,c00233,SKU0436,1,6595,USD,2026-04-18T05:36:34,cancelled,web
o000145,c00741,SKU0388,1,2098,USD,2026-01-09T06:13:46,cancelled,web
o000146,c00879,SKU0171,2,2300,USD,2026-05-01T12:06:47,completed,mobile
o000147,c00526,SKU0060,3,12525,USD,2026-04-01T12:56:42,cancelled,web
o000148,c00670,SKU0428,1,1493,USD,2026-02-21T20:22:18,completed,web
o000149,c00162,SKU0189,1,1538,USD,2025-12-12T10:54:11,completed,web
o000150,c00531,SKU0193,1,1684,USD,2026-02-09T22:36:04,completed,web
o000151,c00882,SKU0059,2,2420,USD,2026-01-21T03:38:48,completed,web
o000152,c00337,SKU0012,1,541,USD,2026-04-23T22:06:24,shipped,marketplace
o000153,c00474,SKU0252,1,598,USD,2026-02-26T20:42:11,cancelled,mobile
o000154,c00053,SKU0231,1,4542,USD,2026-02-08T12:14:25,completed,mobile
o000155,c00542,SKU0336,1,634,USD,2026-01-17T02:22:25,cancelled,web
o000156,c00748,SKU0023,3,7845,USD,2026-04-14T03:42:01,refunded,api
o000157,c00619,SKU0375,4,11716,USD,2025-12-14T23:41:47,completed,mobile
o000158,c00473,SKU0372,1,1174,USD,2026-03-19T02:32:10,cancelled,web
o000159,c00329,SKU0143,1,1386,USD,2026-04-19T08:35:36,cancelled,mobile
o000160,c00026,SKU0489,3,7074,USD,2026-05-04T11:49:41,completed,mobile
o000161,c00744,SKU0268,1,1657,USD,2026-03-11T09:54:44,shipped,mobile
o000162,c00259,SKU0420,1,660,USD,2026-03-09T02:46:50,refunded,mobile
o000163,c00753,SKU0015,1,3301,USD,2026-03-22T14:17:45,completed,mobile
o000164,c00741,SKU0197,2,2914,USD,2026-03-04T04:40:40,shipped,web
o000165,c00528,SKU0338,1,3496,USD,2026-03-11T02:20:15,completed,web
o000166,c00864,SKU0159,1,1000,USD,2026-01-06T12:05:58,completed,web
o000167,c00627,SKU0222,1,1102,USD,2026-02-15T05:39:38,completed,web
o000168,c00155,SKU0169,3,4047,USD,2026-03-28T10:14:04,cancelled,web
o000169,c00236,SKU0345,1,2586,USD,2026-03-26T15:49:28,shipped,mobile
o000170,c00665,SKU0295,5,7530,USD,2026-05-08T12:51:33,shipped,web
o000171,c00739,SKU0397,1,3024,USD,2026-04-13T01:25:09,completed,web
o000172,c00663,SKU0431,1,1233,USD,2026-03-29T15:16:44,completed,web
o000173,c00538,SKU0236,1,1853,USD,2026-03-30T21:54:33,completed,web
o000174,c00941,SKU0032,1,1223,USD,2026-04-11T23:24:26,refunded,web
o000175,c00277,SKU0458,1,1157,USD,2025-12-25T15:52:50,completed,web
o000176,c00555,SKU0112,1,1132,USD,2026-04-25T05:53:41,completed,web
o000177,c00934,SKU0150,5,3675,USD,2026-02-22T22:13:04,completed,web
o000178,c00551,SKU0430,1,6918,USD,2025-12-18T15:38:58,completed,web
o000179,c00629,SKU0374,1,1350,USD,2026-03-28T21:57:23,completed,web
o000180,c00527,SKU0045,2,3408,USD,2026-05-03T23:13:41,shipped,web
o000181,c00442,SKU0102,1,2017,USD,2026-03-10T21:34:13,completed,mobile
o000182,c00035,SKU0492,1,1008,USD,2026-01-19T15:24:51,completed,web
o000183,c00773,SKU0235,1,245,USD,2026-01-11T20:15:13,completed,web
o000184,c00754,SKU0492,4,4032,USD,2026-03-08T12:58:00,completed,web
o000185,c00957,SKU0208,1,1259,USD,2026-04-03T05:18:03,shipped,mobile
o000186,c00161,SKU0044,2,4964,USD,2026-03-09T09:51:12,cancelled,web
o000187,c00037,SKU0354,2,5348,USD,2026-02-17T18:31:18,completed,web
o000188,c00556,SKU0104,1,1762,USD,2026-03-29T19:00:02,completed,web
o000189,c00052,SKU0175,1,1402,USD,2026-04-13T05:46:01,completed,marketplace
o000190,c00279,SKU0191,1,338,USD,2026-02-04T16:45:12,refunded,web
o000191,c00251,SKU0381,2,10128,USD,2025-12-28T17:18:31,cancelled,web
o000192,c00068,SKU0437,1,458,USD,2026-04-09T04:59:21,completed,web
o000193,c00660,SKU0164,1,2416,USD,2025-12-14T02:59:33,cancelled,web
o000194,c00851,SKU0232,1,1604,USD,2026-04-05T21:26:09,refunded,mobile
o000195,c00464,SKU0042,1,2480,USD,2026-01-15T12:53:53,completed,web
o000196,c00116,SKU0198,2,2460,USD,2026-05-09T14:15:12,refunded,web
o000197,c00150,SKU0003,1,581,USD,2026-01-13T09:12:05,completed,web
o000198,c00962,SKU0275,1,1309,USD,2026-05-07T08:39:40,completed,web
o000199,c00138,SKU0292,1,1752,USD,2025-12-10T20:36:06,shipped,web
o000200,c00925,SKU0217,1,2530,USD,2026-02-23T21:47:02,completed,web
o000201,c00751,SKU0042,1,2480,USD,2026-04-09T16:50:20,cancelled,marketplace
o000202,c00857,SKU0325,2,4822,USD,2026-05-12T14:11:16,shipped,web
o000203,c00019,SKU0100,1,1431,USD,2026-02-10T18:04:34,cancelled,mobile
o000204,c00061,SKU0442,1,1767,USD,2026-02-24T10:45:12,refunded,mobile
o000205,c00380,SKU0217,1,2530,USD,2026-02-15T18:16:25,refunded,mobile
o000206,c00036,SKU0328,3,4506,USD,2026-04-12T05:10:54,completed,mobile
o000207,c00426,SKU0297,1,1196,USD,2026-03-15T13:43:21,completed,mobile
o000208,c00022,SKU0083,2,1982,USD,2026-01-22T00:09:15,completed,mobile
o000209,c00246,SKU0353,2,3446,USD,2026-01-31T11:15:54,completed,web
o000210,c00358,SKU0477,1,874,USD,2026-04-09T15:34:38,cancelled,web
o000211,c00459,SKU0294,5,10890,USD,2026-04-03T15:52:54,cancelled,web
o000212,c00761,SKU0366,1,1478,USD,2026-02-12T13:54:13,refunded,web
o000213,c00039,SKU0295,1,1506,USD,2026-03-29T00:00:34,completed,mobile
o000214,c00354,SKU0276,1,1601,USD,2026-04-08T23:44:32,completed,web
o000215,c00059,SKU0359,1,2743,USD,2026-05-01T12:22:59,refunded,web
o000216,c00846,SKU0232,2,3208,USD,2026-04-24T01:02:32,refunded,web
o000217,c00875,SKU0433,2,6068,USD,2026-03-12T22:52:19,completed,mobile
o000218,c00255,SKU0031,2,2662,USD,2026-01-01T19:53:11,completed,web
o000219,c00418,SKU0086,1,1247,USD,2026-02-08T04:32:25,completed,web
o000220,c00378,SKU0057,1,518,USD,2026-02-23T10:06:12,completed,web
o000221,c00825,SKU0092,2,1848,USD,2026-04-03T18:21:40,completed,web
o000222,c00051,SKU0195,1,2224,USD,2026-03-30T02:21:09,completed,mobile
o000223,c00471,SKU0118,1,1789,USD,2026-04-27T00:23:25,cancelled,mobile
o000224,c00902,SKU0197,1,1457,USD,2026-03-28T00:55:28,cancelled,mobile
o000225,c00665,SKU0252,1,598,USD,2026-04-27T14:51:23,completed,web
o000226,c00448,SKU0045,1,1704,USD,2026-03-25T19:55:52,completed,web
o000227,c00766,SKU0257,1,5564,USD,2026-01-09T18:33:57,shipped,web
o000228,c00045,SKU0185,1,2209,USD,2026-05-08T12:06:56,completed,mobile
o000229,c00431,SKU0061,5,17335,USD,2026-03-19T03:05:19,completed,mobile
o000230,c00653,SKU0333,2,3626,USD,2026-02-09T05:39:47,completed,mobile
o000231,c00928,SKU0277,1,1657,USD,2026-04-20T05:48:36,cancelled,web
o000232,c00859,SKU0090,1,610,USD,2026-05-06T08:10:08,completed,web
o000233,c00257,SKU0193,1,1684,USD,2026-03-20T02:47:16,refunded,web
o000234,c00474,SKU0367,1,1192,USD,2026-04-23T14:51:59,completed,marketplace
o000235,c00331,SKU0111,2,5184,USD,2026-02-09T22:25:10,refunded,web
o000236,c00351,SKU0050,2,10130,USD,2026-03-15T15:48:37,cancelled,web
o000237,c00633,SKU0095,1,2196,USD,2026-03-05T10:23:44,refunded,mobile
o000238,c00641,SKU0373,4,3128,USD,2026-05-08T01:10:10,cancelled,web
o000239,c00761,SKU0265,2,4546,USD,2026-03-29T07:51:13,cancelled,web
o000240,c00645,SKU0355,1,1097,USD,2026-04-26T19:45:17,shipped,web
o000241,c00761,SKU0288,1,471,USD,2026-03-25T09:37:42,completed,web
o000242,c00737,SKU0357,1,625,USD,2026-04-06T09:43:29,refunded,mobile
o000243,c00565,SKU0446,1,2851,USD,2026-04-16T09:56:38,completed,mobile
o000244,c00882,SKU0092,2,1848,USD,2026-04-20T03:18:35,completed,web
o000245,c00561,SKU0217,1,2530,USD,2026-03-06T00:46:54,refunded,web
o000246,c00060,SKU0091,3,3948,USD,2026-03-04T13:13:56,completed,web
o000247,c00953,SKU0042,3,7440,USD,2026-02-12T12:21:54,shipped,web
o000248,c00306,SKU0395,1,2169,USD,2026-03-03T10:52:31,refunded,web
o000249,c00869,SKU0238,1,665,USD,2026-05-03T14:29:48,refunded,mobile
o000250,c00071,SKU0311,1,1905,USD,2026-04-17T01:13:24,completed,web
o000251,c00916,SKU0241,1,770,USD,2026-04-19T09:55:48,completed,web
o000252,c00253,SKU0193,1,1684,USD,2026-01-16T22:49:22,completed,web
o000253,c00565,SKU0234,1,1499,USD,2025-12-01T05:45:21,completed,web
o000254,c00566,SKU0002,2,3962,USD,2026-04-06T19:24:29,completed,web
o000255,c00768,SKU0295,1,1506,USD,2026-02-14T18:15:25,completed,web
o000256,c00665,SKU0360,3,8655,USD,2026-03-09T16:42:19,shipped,mobile
o000257,c00172,SKU0233,2,5146,USD,2026-04-17T11:40:28,refunded,marketplace
o000258,c00744,SKU0352,1,2939,USD,2026-02-25T22:33:23,refunded,mobile
o000259,c00732,SKU0161,1,1717,USD,2026-01-21T15:58:45,cancelled,marketplace
o000260,c00018,SKU0155,1,683,USD,2026-02-03T02:26:04,completed,marketplace
o000261,c00941,SKU0387,1,671,USD,2026-05-05T22:44:19,cancelled,web
o000262,c00966,SKU0209,5,13460,USD,2026-01-26T17:32:43,refunded,web
o000263,c00831,SKU0038,5,2820,USD,2026-05-02T07:06:01,shipped,web
o000264,c00262,SKU0322,1,574,USD,2026-04-18T16:49:08,completed,web
o000265,c00350,SKU0353,2,3446,USD,2026-03-29T22:26:57,completed,api
o000266,c00165,SKU0276,2,3202,USD,2026-02-13T00:56:12,completed,mobile
o000267,c00389,SKU0322,2,1148,USD,2026-04-21T00:24:24,cancelled,web
o000268,c00825,SKU0500,1,1641,USD,2026-02-17T14:34:28,completed,web
o000269,c00051,SKU0135,2,5148,USD,2026-04-20T18:54:27,cancelled,mobile
o000270,c00477,SKU0422,2,2068,USD,2026-03-03T08:48:00,cancelled,marketplace
o000271,c00778,SKU0319,1,2261,USD,2026-02-03T19:38:12,shipped,web
o000272,c00622,SKU0383,4,6136,USD,2026-04-29T23:27:24,cancelled,web
o000273,c00345,SKU0113,2,2420,USD,2026-03-15T03:20:44,refunded,mobile
o000274,c00263,SKU0001,1,741,USD,2026-03-18T01:41:39,completed,web
o000275,c00652,SKU0115,2,5832,USD,2026-04-10T10:59:35,refunded,mobile
o000276,c00721,SKU0225,1,1553,USD,2026-05-10T15:52:28,cancelled,api
o000277,c00655,SKU0234,1,1499,USD,2026-03-25T06:45:31,completed,mobile
o000278,c00551,SKU0417,1,1442,USD,2026-02-14T22:26:21,completed,web
o000279,c00761,SKU0388,1,2098,USD,2026-03-27T10:45:19,completed,web
o000280,c00540,SKU0459,2,4156,USD,2026-04-05T06:49:29,completed,mobile
o000281,c00258,SKU0127,2,7078,USD,2026-02-16T22:33:08,refunded,web
o000282,c00530,SKU0331,4,5812,USD,2026-02-07T00:06:41,cancelled,marketplace
o000283,c00463,SKU0124,3,7374,USD,2026-04-10T06:01:23,completed,mobile
o000284,c00027,SKU0266,1,2362,USD,2026-03-30T09:07:11,refunded,mobile
o000285,c00554,SKU0341,2,2756,USD,2026-03-29T02:24:47,shipped,web
o000286,c00751,SKU0273,2,2764,USD,2025-12-30T12:32:34,completed,web
o000287,c00120,SKU0216,1,2606,USD,2026-02-20T12:59:43,refunded,marketplace
o000288,c00460,SKU0412,1,1429,USD,2025-12-25T14:06:28,completed,marketplace
o000289,c00139,SKU0494,1,832,USD,2026-02-21T14:46:18,refunded,mobile
o000290,c00841,SKU0277,4,6628,USD,2026-03-19T14:28:10,completed,mobile
o000291,c00775,SKU0040,3,2091,USD,2026-02-26T23:32:59,cancelled,web
o000292,c00644,SKU0477,1,874,USD,2026-03-10T11:52:37,completed,web
o000293,c00635,SKU0331,1,1453,USD,2026-04-05T16:05:47,refunded,web
o000294,c00851,SKU0488,2,4002,USD,2026-03-10T15:46:06,completed,web
o000295,c00547,SKU0256,3,4437,USD,2026-04-25T10:57:09,completed,web
o000296,c00362,SKU0461,2,6228,USD,2026-02-01T23:13:11,completed,mobile
o000297,c00140,SKU0412,4,5716,USD,2026-01-25T21:51:22,refunded,web
o000298,c00273,SKU0019,1,2039,USD,2026-04-03T22:48:28,refunded,web
o000299,c00151,SKU0478,4,5092,USD,2026-02-24T12:00:35,completed,marketplace
o000300,c00783,SKU0114,2,5918,USD,2026-03-11T23:37:40,cancelled,web
o000301,c00074,SKU0142,4,4708,USD,2026-03-17T22:50:52,shipped,web
o000302,c00167,SKU0082,1,769,USD,2026-04-02T01:38:51,completed,mobile
o000303,c00386,SKU0474,2,1954,USD,2026-05-14T06:05:20,completed,mobile
o000304,c00666,SKU0420,1,660,USD,2025-12-04T13:01:11,completed,mobile
o000305,c00143,SKU0164,1,2416,USD,2026-04-15T10:06:48,completed,web
o000306,c00148,SKU0014,1,2243,USD,2026-04-16T13:33:19,completed,mobile
o000307,c00786,SKU0415,3,5382,USD,2026-01-19T09:16:22,completed,marketplace
o000308,c00559,SKU0421,3,1674,USD,2026-04-19T05:39:01,completed,web
o000309,c00127,SKU0037,1,1890,USD,2026-04-24T04:05:51,completed,marketplace
o000310,c00254,SKU0485,1,2721,USD,2026-02-20T22:51:22,shipped,web
o000311,c00658,SKU0367,1,1192,USD,2025-12-06T12:25:44,completed,mobile
o000312,c00552,SKU0088,2,2814,USD,2026-03-03T09:51:25,completed,web
o000313,c00854,SKU0443,2,1946,USD,2026-01-14T03:34:49,completed,web
o000314,c00448,SKU0336,4,2536,USD,2026-03-05T23:15:34,cancelled,web
o000315,c00659,SKU0492,4,4032,USD,2026-02-25T20:47:31,cancelled,mobile
o000316,c00262,SKU0212,1,1375,USD,2026-01-18T15:29:59,cancelled,mobile
o000317,c00131,SKU0096,2,1422,USD,2026-03-05T21:53:17,completed,web
o000318,c00240,SKU0117,2,3804,USD,2026-03-30T09:51:42,cancelled,marketplace
o000319,c00427,SKU0374,2,2700,USD,2026-01-04T18:22:30,completed,web
o000320,c00955,SKU0272,2,3138,USD,2025-12-19T04:07:29,completed,web
o000321,c00345,SKU0429,1,428,USD,2026-04-17T06:23:48,refunded,mobile
o000322,c00562,SKU0087,1,3000,USD,2026-03-23T20:40:49,completed,mobile
o000323,c00452,SKU0299,2,4180,USD,2026-03-09T23:40:25,shipped,web
o000324,c00637,SKU0295,2,3012,USD,2026-02-15T09:45:42,completed,mobile
o000325,c00049,SKU0223,1,3828,USD,2026-03-09T05:40:55,shipped,mobile
o000326,c00654,SKU0164,2,4832,USD,2026-03-26T03:50:50,completed,mobile
o000327,c00321,SKU0099,1,454,USD,2026-04-16T04:42:22,refunded,web
o000328,c00951,SKU0206,1,906,USD,2026-04-16T02:17:43,shipped,web
o000329,c00972,SKU0228,1,1142,USD,2026-04-07T19:07:41,refunded,web
o000330,c00443,SKU0287,1,741,USD,2026-05-05T15:06:05,shipped,web
o000331,c00960,SKU0192,2,2964,USD,2026-02-01T13:11:34,shipped,web
o000332,c00826,SKU0374,1,1350,USD,2026-03-07T02:37:22,completed,web
o000333,c00647,SKU0462,2,2448,USD,2026-03-21T05:14:38,completed,web
o000334,c00855,SKU0417,5,7210,USD,2026-03-12T10:01:44,shipped,web
o000335,c00144,SKU0134,1,2059,USD,2026-03-25T02:24:12,refunded,web
o000336,c00366,SKU0414,1,3365,USD,2026-02-20T16:41:32,refunded,api
o000337,c00236,SKU0139,1,965,USD,2026-01-06T18:36:08,shipped,web
